"X_Long" "Y_Lat" "Bio1" "Bio2" "Bio3" "Bio4" "Bio5" "Bio6" "Bio7" "Bio8" "Bio9" "Bio10" "Bio11" "Bio12" "Bio13" "Bio14" "Bio15" "Bio16" "Bio17" "Bio18" "Bio19" "Elevation"
"AM_00706" 77.8 31.52 11.9166669845581 9.21666717529297 36.2860908508301 577.861755371094 24 -1.39999997615814 25.3999996185303 17.3666667938232 8.85000038146973 18.0666656494141 4.09999990463257 1104 162 21 42.7509269714355 421 127 376 249 2402
"AM_00707" 77.8 31.52 11.9166669845581 9.21666717529297 36.2860908508301 577.861755371094 24 -1.39999997615814 25.3999996185303 17.3666667938232 8.85000038146973 18.0666656494141 4.09999990463257 1104 162 21 42.7509269714355 421 127 376 249 2402
"AM_00708" 77.8 31.52 11.9166669845581 9.21666717529297 36.2860908508301 577.861755371094 24 -1.39999997615814 25.3999996185303 17.3666667938232 8.85000038146973 18.0666656494141 4.09999990463257 1104 162 21 42.7509269714355 421 127 376 249 2402
"AM_00709" 77.8 31.52 11.9166669845581 9.21666717529297 36.2860908508301 577.861755371094 24 -1.39999997615814 25.3999996185303 17.3666667938232 8.85000038146973 18.0666656494141 4.09999990463257 1104 162 21 42.7509269714355 421 127 376 249 2402
"AM_00710" 77.8 31.52 11.9166669845581 9.21666717529297 36.2860908508301 577.861755371094 24 -1.39999997615814 25.3999996185303 17.3666667938232 8.85000038146973 18.0666656494141 4.09999990463257 1104 162 21 42.7509269714355 421 127 376 249 2402
"AM_00711" 77.8 31.52 11.9166669845581 9.21666717529297 36.2860908508301 577.861755371094 24 -1.39999997615814 25.3999996185303 17.3666667938232 8.85000038146973 18.0666656494141 4.09999990463257 1104 162 21 42.7509269714355 421 127 376 249 2402
"AM_00712" 77.8 31.52 11.9166669845581 9.21666717529297 36.2860908508301 577.861755371094 24 -1.39999997615814 25.3999996185303 17.3666667938232 8.85000038146973 18.0666656494141 4.09999990463257 1104 162 21 42.7509269714355 421 127 376 249 2402
"AM_00713" 76.931 31.708 20.7541675567627 10.0083332061768 34.872241973877 636.636962890625 34.5999984741211 5.90000009536743 28.6999988555908 25.5166664123535 16.5166664123535 27.7666664123535 12.2333335876465 1579 459 19 108.513977050781 1019 101 638 187 822
"AM_00714" 76.931 31.708 20.7541675567627 10.0083332061768 34.872241973877 636.636962890625 34.5999984741211 5.90000009536743 28.6999988555908 25.5166664123535 16.5166664123535 27.7666664123535 12.2333335876465 1579 459 19 108.513977050781 1019 101 638 187 822
"AM_00715" 76.931 31.708 20.7541675567627 10.0083332061768 34.872241973877 636.636962890625 34.5999984741211 5.90000009536743 28.6999988555908 25.5166664123535 16.5166664123535 27.7666664123535 12.2333335876465 1579 459 19 108.513977050781 1019 101 638 187 822
"AM_00716" 77.104 31.976 13.6083335876465 9.35000038146973 36.3813247680664 574.111328125 25.8999996185303 0.200000002980232 25.6999988555908 18.8999996185303 10.6166667938232 19.716667175293 5.83333349227905 1443 293 22 65.6157989501953 695 118 655 257 2147
"AM_00717" 77.104 31.976 13.6083335876465 9.35000038146973 36.3813247680664 574.111328125 25.8999996185303 0.200000002980232 25.6999988555908 18.8999996185303 10.6166667938232 19.716667175293 5.83333349227905 1443 293 22 65.6157989501953 695 118 655 257 2147
"AM_00718" 77.104 31.976 13.6083335876465 9.35000038146973 36.3813247680664 574.111328125 25.8999996185303 0.200000002980232 25.6999988555908 18.8999996185303 10.6166667938232 19.716667175293 5.83333349227905 1443 293 22 65.6157989501953 695 118 655 257 2147
"AM_00719" 77.104 31.976 13.6083335876465 9.35000038146973 36.3813247680664 574.111328125 25.8999996185303 0.200000002980232 25.6999988555908 18.8999996185303 10.6166667938232 19.716667175293 5.83333349227905 1443 293 22 65.6157989501953 695 118 655 257 2147
"AM_00720" 77.104 31.976 13.6083335876465 9.35000038146973 36.3813247680664 574.111328125 25.8999996185303 0.200000002980232 25.6999988555908 18.8999996185303 10.6166667938232 19.716667175293 5.83333349227905 1443 293 22 65.6157989501953 695 118 655 257 2147
"AM_00721" 77.104 31.976 13.6083335876465 9.35000038146973 36.3813247680664 574.111328125 25.8999996185303 0.200000002980232 25.6999988555908 18.8999996185303 10.6166667938232 19.716667175293 5.83333349227905 1443 293 22 65.6157989501953 695 118 655 257 2147
"AM_00722" 77.104 31.976 13.6083335876465 9.35000038146973 36.3813247680664 574.111328125 25.8999996185303 0.200000002980232 25.6999988555908 18.8999996185303 10.6166667938232 19.716667175293 5.83333349227905 1443 293 22 65.6157989501953 695 118 655 257 2147
